date,iexId,isEnabled,name,symbol,type
2019-04-02,11602,True,FlexShares STOXX Global ESG Impact Index Fund,ESGG,N/A
2019-04-02,12030,True,Oppenheimer Revenue Weighted ETF Trust ESG Revenue,ESGL,N/A
2019-04-02,11457,True,Columbia Sustainable International Equity Income,ESGN,N/A
2019-04-02,2251,True,Enstar Group Limited,ESGR,cs
2019-04-02,15271,True,Enstar Group Limited Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares Series E,ESGRO,ps
2019-04-02,14823,True,Enstar Group Limited Depositary Shares Each Representing 1/1000th of an interest in Preference Shares,ESGRP,ps
2019-04-02,11458,True,Columbia Sustainable U.S. Equity Income,ESGS,N/A
2019-04-02,12135,True,iShares MSCI USA ESG Optimized ETF,ESGU,N/A
2019-04-02,15038,True,Vanguard ESG U.S. Stock,ESGV,N/A
2019-04-02,11459,True,Columbia Sustainable Global Equity Income,ESGW,N/A
2019-04-02,8231,True,Element Solutions Inc.,ESI,cs
2019-04-02,2255,True,Elbit Systems Ltd.,ESLT,cs
2019-04-02,14428,True,iShares ESG MSCI USA Small-Cap,ESML,N/A
2019-04-02,7886,True,Essent Group Ltd.,ESNT,cs
2019-04-02,2257,True,Espey Mfg. & Electronics Corp.,ESP,cs
2019-04-02,15142,True,VanEck Vectors Video Gaming and eSports,ESPO,N/A
2019-04-02,2258,True,Esperion Therapeutics Inc.,ESPR,cs
2019-04-02,13043,True,Esquire Financial Holdings Inc.,ESQ,cs
2019-04-02,2243,True,Empire State Realty Trust Inc. Class A,ESRT,cs
2019-04-02,2261,True,Essex Property Trust Inc.,ESS,cs
2019-04-02,2263,True,ESSA Bancorp Inc.,ESSA,cs
2019-04-02,14761,True,Establishment Labs Holdings Inc.,ESTA,cs
2019-04-02,14990,True,Elastic N.V.,ESTC,cs
2019-04-02,2265,True,Earthstone Energy Inc. Class A,ESTE,cs
2019-04-02,13419,True,Estre Ambiental Inc.,ESTR,cs
2019-04-02,13954,True,Estre Ambiental Inc. Warrants,ESTRW,N/A
2019-04-02,2266,True,Ensco plc Class A,ESV,cs
2019-04-02,2267,True,Community Bankers Trust Corporation.,ESXB,cs
2019-04-02,2271,True,Energy Transfer LP,ET,cs
2019-04-02,2270,True,Eaton Vance Tax-Managed Buy-Write Income Fund of Beneficial Interest,ETB,cs
2019-04-02,2273,True,E*TRADE Financial Corporation,ETFC,cs
2019-04-02,2274,True,Eaton Vance Tax-Advantaged Global Dividend Income Fund of Beneficial Interest,ETG,cs
2019-04-02,2275,True,Ethan Allen Interiors Inc.,ETH,cs
2019-04-02,10863,True,Etho Climate Leadership U.S.,ETHO,N/A
2019-04-02,2276,True,Eaton Vance Risk-Managed Diversified Equity Income Fund of Beneficial Interest,ETJ,cs
2019-04-02,2277,True,Entercom Communications Corp.,ETM,cs
2019-04-02,2278,True,Eaton Corporation PLC,ETN,cs
2019-04-02,2279,True,Eaton Vance Tax-Advantage Global Dividend Opp,ETO,cs
2019-04-02,14926,True,Eton Pharmaceuticals Inc.,ETON,cs
2019-04-02,14511,True,Energy Transfer Operating L.P. Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,ETP-C,ps
2019-04-02,14868,True,Energy Transfer Operating L.P. 7.625% Series D Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,ETP-D,ps
2019-04-02,2281,True,Entergy Corporation,ETR,cs
